"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2017","798.00","795.90","798.41","795.23","110.13K","0.32%"
"Oct 31, 2017","795.48","800.44","802.15","794.20","116.87K","-0.70%"
"Oct 30, 2017","801.07","801.58","805.35","800.14","120.88K","-0.03%"
"Oct 27, 2017","801.30","791.88","801.30","789.74","89.30K","1.22%"
"Oct 26, 2017","791.64","791.83","796.35","785.13","126.01K","-0.15%"
"Oct 25, 2017","792.80","788.82","792.95","787.38","81.42K","0.64%"
"Oct 24, 2017","787.76","781.48","787.76","779.26","97.55K","0.64%"
"Oct 23, 2017","782.76","787.20","788.47","780.47","140.76K","-0.82%"
"Oct 20, 2017","789.24","793.53","796.75","789.01","122.77K","-0.56%"
"Oct 19, 2017","793.67","794.29","796.83","792.00","95.19K","0.02%"
"Oct 18, 2017","793.55","796.95","798.61","792.53","123.34K","-0.34%"
"Oct 17, 2017","796.24","791.27","796.24","791.27","117.80K","0.63%"
"Oct 16, 2017","791.23","794.50","796.72","791.11","99.93K","-0.41%"
"Oct 13, 2017","794.50","788.30","794.50","787.98","98.84K","0.63%"
"Oct 12, 2017","789.56","788.20","792.13","787.38","97.15K","0.25%"
"Oct 11, 2017","787.63","786.37","790.55","785.53","104.79K","0.15%"
"Oct 10, 2017","786.47","781.46","786.47","780.59","94.95K","0.52%"
"Oct 09, 2017","782.37","783.07","783.31","779.92","90.95K","0.16%"
"Oct 06, 2017","781.12","779.14","781.64","777.81","87.75K","0.29%"
"Oct 05, 2017","778.83","779.47","782.52","778.83","99.54K","0.11%"
"Oct 04, 2017","777.94","769.52","777.94","769.47","70.43K","1.02%"
"Oct 03, 2017","770.05","774.17","775.21","767.26","105.42K","-0.49%"
"Oct 02, 2017","773.87","777.54","779.42","773.58","70.46K","-0.37%"
"Sep 29, 2017","776.75","775.06","779.79","775.06","86.54K","0.26%"
"Sep 28, 2017","774.77","774.33","780.16","774.24","116.79K","0.06%"
"Sep 27, 2017","774.31","774.88","777.48","774.31","106.48K","-0.36%"
"Sep 26, 2017","777.14","776.89","777.14","772.15","110.20K","0.17%"
"Sep 25, 2017","775.84","776.37","777.39","773.15","88.36K","-0.03%"
"Sep 22, 2017","776.05","773.66","777.53","773.24","107.72K","0.33%"
"Sep 21, 2017","773.53","776.41","776.76","772.87","91.76K","-0.31%"
"Sep 20, 2017","775.94","778.20","778.32","774.87","89.98K","-0.13%"
